silver          | 26/04/18 21:19:33 INFO Snapshot: [tableId=188d4e7f-c353-4122-a541-a5d9c7cb89e1] Created snapshot Snapshot(path=file:/workspace/data/bronze/callfiltering/_delta_log, version=303, metadata=Metadata(188d4e7f-c353-4122-a541-a5d9c7cb89e1,null,null,Format(parquet,Map()),{"type":"struct","fields":[{"name":"action","type":"string","nullable":true,"metadata":{}},{"name":"addiClgParty","type":"string","nullable":true,"metadata":{}},{"name":"callOrigin","type":"string","nullable":true,"metadata":{}},{"name":"cfBlockType","type":"string","nullable":true,"metadata":{}},{"name":"cfTurnedOff","type":"boolean","nullable":true,"metadata":{}},{"name":"clgParty","type":"string","nullable":true,"metadata":{}},{"name":"cldParty","type":"string","nullable":true,"metadata":{}},{"name":"dp","type":"long","nullable":true,"metadata":{}},{"name":"executionTime","type":"long","nullable":true,"metadata":{}},{"name":"hostName","type":"string","nullable":true,"metadata":{}},{"name":"imsi","type":"string","nullable":true,"metadata":{}},{"name":"msisdn","type":"string","nullable":true,"metadata":{}},{"name":"normAddiClgParty","type":"string","nullable":true,"metadata":{}},{"name":"normCldParty","type":"string","nullable":true,"metadata":{}},{"name":"normClgParty","type":"string","nullable":true,"metadata":{}},{"name":"normRedParty","type":"string","nullable":true,"metadata":{}},{"name":"redParty","type":"string","nullable":true,"metadata":{}},{"name":"requestId","type":"string","nullable":true,"metadata":{}},{"name":"result","type":"string","nullable":true,"metadata":{}},{"name":"serviceName","type":"string","nullable":true,"metadata":{}},{"name":"skey","type":"long","nullable":true,"metadata":{}},{"name":"startTime","type":"timestamp","nullable":true,"metadata":{}},{"name":"status","type":"string","nullable":true,"metadata":{}},{"name":"timestamp","type":"timestamp","nullable":true,"metadata":{}},{"name":"triggerService","type":"string","nullable":true,"metadata":{}},{"name":"event_uid","type":"string","nullable":true,"metadata":{}},{"name":"year","type":"integer","nullable":true,"metadata":{}},{"name":"month","type":"integer","nullable":true,"metadata":{}},{"name":"day","type":"integer","nullable":true,"metadata":{}},{"name":"kafka_timestamp","type":"timestamp","nullable":true,"metadata":{}}]},List(year, month, day),Map(),Some(1776522653989)), logSegment=LogSegment(file:/workspace/data/bronze/callfiltering/_delta_log,303,WrappedArray(DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000301.json; isDirectory=false; length=14350; replication=1; blocksize=33554432; modification_time=1776547110521; access_time=1776547111814; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}, DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000302.json; isDirectory=false; length=14110; replication=1; blocksize=33554432; modification_time=1776547117226; access_time=1776547117912; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}, DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000303.json; isDirectory=false; length=14000; replication=1; blocksize=33554432; modification_time=1776547145380; access_time=1776547146350; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}),org.apache.spark.sql.delta.CheckpointProvider$$anon$2@1500516a,1776547145380), checksumOpt=None)
silver          | 26/04/18 21:19:33 INFO DeltaLog: Updated snapshot to Snapshot(path=file:/workspace/data/bronze/callfiltering/_delta_log, version=303, metadata=Metadata(188d4e7f-c353-4122-a541-a5d9c7cb89e1,null,null,Format(parquet,Map()),{"type":"struct","fields":[{"name":"action","type":"string","nullable":true,"metadata":{}},{"name":"addiClgParty","type":"string","nullable":true,"metadata":{}},{"name":"callOrigin","type":"string","nullable":true,"metadata":{}},{"name":"cfBlockType","type":"string","nullable":true,"metadata":{}},{"name":"cfTurnedOff","type":"boolean","nullable":true,"metadata":{}},{"name":"clgParty","type":"string","nullable":true,"metadata":{}},{"name":"cldParty","type":"string","nullable":true,"metadata":{}},{"name":"dp","type":"long","nullable":true,"metadata":{}},{"name":"executionTime","type":"long","nullable":true,"metadata":{}},{"name":"hostName","type":"string","nullable":true,"metadata":{}},{"name":"imsi","type":"string","nullable":true,"metadata":{}},{"name":"msisdn","type":"string","nullable":true,"metadata":{}},{"name":"normAddiClgParty","type":"string","nullable":true,"metadata":{}},{"name":"normCldParty","type":"string","nullable":true,"metadata":{}},{"name":"normClgParty","type":"string","nullable":true,"metadata":{}},{"name":"normRedParty","type":"string","nullable":true,"metadata":{}},{"name":"redParty","type":"string","nullable":true,"metadata":{}},{"name":"requestId","type":"string","nullable":true,"metadata":{}},{"name":"result","type":"string","nullable":true,"metadata":{}},{"name":"serviceName","type":"string","nullable":true,"metadata":{}},{"name":"skey","type":"long","nullable":true,"metadata":{}},{"name":"startTime","type":"timestamp","nullable":true,"metadata":{}},{"name":"status","type":"string","nullable":true,"metadata":{}},{"name":"timestamp","type":"timestamp","nullable":true,"metadata":{}},{"name":"triggerService","type":"string","nullable":true,"metadata":{}},{"name":"event_uid","type":"string","nullable":true,"metadata":{}},{"name":"year","type":"integer","nullable":true,"metadata":{}},{"name":"month","type":"integer","nullable":true,"metadata":{}},{"name":"day","type":"integer","nullable":true,"metadata":{}},{"name":"kafka_timestamp","type":"timestamp","nullable":true,"metadata":{}}]},List(year, month, day),Map(),Some(1776522653989)), logSegment=LogSegment(file:/workspace/data/bronze/callfiltering/_delta_log,303,WrappedArray(DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000301.json; isDirectory=false; length=14350; replication=1; blocksize=33554432; modification_time=1776547110521; access_time=1776547111814; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}, DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000302.json; isDirectory=false; length=14110; replication=1; blocksize=33554432; modification_time=1776547117226; access_time=1776547117912; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}, DeprecatedRawLocalFileStatus{path=file:/workspace/data/bronze/callfiltering/_delta_log/00000000000000000303.json; isDirectory=false; length=14000; replication=1; blocksize=33554432; modification_time=1776547145380; access_time=1776547146350; owner=; group=; permission=rw-rw-rw-; isSymlink=false; hasAcl=false; isEncrypted=false; isErasureCoded=false}),org.apache.spark.sql.delta.CheckpointProvider$$anon$2@1500516a,1776547145380), checksumOpt=None)
gold            | 26/04/18 21:19:33 INFO BlockManagerInfo: Added rdd_217_20 in memory on 172.18.0.9:35481 (size: 1532.0 B, free: 1222.4 MiB)
silver          | 26/04/18 21:19:34 INFO CheckpointFileManager: Writing atomically to file:/workspace/data/checkpoint/silver/kafka_callfiltering/offsets/217 using temp file file:/workspace/data/checkpoint/silver/kafka_callfiltering/offsets/.217.5ed0b1f9-ca4b-4b04-bc8b-a99cfd7750a8.tmp
gold            | 26/04/18 21:19:34 INFO BlockManagerInfo: Added rdd_810_20 in memory on 172.18.0.9:35481 (size: 896.0 B, free: 1222.4 MiB)
gold            | 26/04/18 21:19:34 INFO TaskSetManager: Starting task 21.0 in stage 553.0 (TID 2452) (172.18.0.9, executor 6, partition 21, NODE_LOCAL, 8029 bytes) 
gold            | 26/04/18 21:19:34 INFO TaskSetManager: Finished task 20.0 in stage 553.0 (TID 2451) in 658 ms on 172.18.0.9 (executor 6) (27/50)
bronze          | 26/04/18 21:19:34 INFO ExecutorAllocationManager: Requesting 2 new executors because tasks are backlogged (new desired total will be 2 for resource profile id: 0)
spark-master    | 26/04/18 21:19:34 INFO Master: Application app-20260418184455-0006 requested executors: Map(Profile: id = 0, executor resources: cores -> name: cores, amount: 1, script: , vendor: ,memory -> name: memory, amount: 1024, script: , vendor: ,offHeap -> name: offHeap, amount: 0, script: , vendor: , task resources: cpus -> name: cpus, amount: 1.0 -> 2).
spark-master    | 26/04/18 21:19:34 INFO Master: Start scheduling for app app-20260418184455-0005 with rpId: 0
spark-master    | 26/04/18 21:19:34 INFO Master: Start scheduling for app app-20260418184455-0006 with rpId: 0
